logon,{Q8V1-M9YC08OE-8217CLWP},01/04/2010 07:30:00,ACM2278,PC-8431,Logon
logon,{N9K9-I0NN61UQ-9170UOFF},01/04/2010 17:44:00,ACM2278,PC-8431,Logoff
logon,{X6O8-L4AC69MX-2713XSFD},01/05/2010 07:30:00,ACM2278,PC-8431,Logon
logon,{O0P1-D8PM94PZ-7849GMKV},01/05/2010 11:46:48,ACM2278,PC-8431,Logon
logon,{V3E6-I4MG06DB-3518RUWF},01/05/2010 17:28:00,ACM2278,PC-8431,Logoff
logon,{H6O3-T9RA83BK-2978KQJE},01/06/2010 07:24:00,ACM2278,PC-8431,Logon
file,{C3H4-D2CP80AI-5718DSCO},01/06/2010 10:56:17,ACM2278,PC-8431,C:\ACM2278\5Y621TSI.doc,File Open,False,False,"D0-CF-11-E0-A1-B1-1A-E1 In absence of Klein, David Kahne became the interim head of Reprise. During the two hundred-date tour supporting A.M., Tweedy began to write songs for a second album."
file,{D9Y8-H2BG54QV-7508YIPY},01/06/2010 11:47:12,ACM2278,PC-8431,C:\ACM2278\5Y621TSI.doc,File Open,False,False,"D0-CF-11-E0-A1-B1-1A-E1 In absence of Klein, David Kahne became the interim head of Reprise. During the two hundred-date tour supporting A.M., Tweedy began to write songs for a second album."
logon,{X6Q1-M9SD86AQ-0842GFKT},01/06/2010 12:22:35,ACM2278,PC-8431,Logon
logon,{U3A7-Q7GJ41TC-7121SFYQ},01/06/2010 17:34:00,ACM2278,PC-8431,Logoff
logon,{S6K7-H5IW90DJ-5104DYCM},01/07/2010 07:30:00,ACM2278,PC-8431,Logon
logon,{K8F2-A2SA38KQ-0596SMMJ},01/07/2010 12:40:01,ACM2278,PC-8431,Logon
file,{I9X5-X0MJ95RH-8339OOFL},01/07/2010 16:08:06,ACM2278,PC-8431,C:\526nhn8\88YW0ABY.doc,File Open,False,False,"D0-CF-11-E0-A1-B1-1A-E1 DC had trouble selling ad space in issues of Watchmen, which left an extra eight to nine pages per issue. Assembled under the supervision of Dave Gibbons, Absolute Watchmen included the Graphitti materials, as well as restored and recolored art by John Higgins. The presence of water in vinegar has such a profound effect on acetic acid's properties that for centuries chemists believed that glacial acetic acid and the acid found in vinegar were two different substances. Other substitution derivatives include acetic anhydride; this anhydride is produced by loss of water from two molecules of acetic acid."
logon,{G9U9-I8SN48WI-2219MBSJ},01/07/2010 17:29:00,ACM2278,PC-8431,Logoff
logon,{K4L5-F2UQ53JO-9858PMNT},01/08/2010 07:33:00,ACM2278,PC-8431,Logon
logon,{T3H3-W1RW62MU-0040BEGJ},01/08/2010 11:37:24,ACM2278,PC-8431,Logon
